;2023;;;
;Innvandrere;Norskfødte med innvandrerforeldre;Andel innvandrere av totalbefolkningen. Prosent;Andel norskfødte med innvandrerforeldre av totalbefolkningen. Prosent
I alt;877 227;213 810;16,0;3,9
Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand;378 076;51 274;6,9;0,9
Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder;499 150;162 535;9,1;3,0
;;;;
Norden utenom Norge;69 251;7 320;1,3;0,1
EU/EFTA fram til 2004 utenom Norden;85 626;8 852;1,6;0,2
Nye EU-land etter 2004;207 883;34 089;3,8;0,6
USA og Canada;12 784;922;0,2;0,0
Australia og New Zealand;2 532;91;0,0;0,0
Europa utenom EU/EFTA/Storbritannia;101 058;22 589;1,8;0,4
Afrika;105 817;43 685;1,9;0,8
Asia;265 120;92 273;4,8;1,7
Amerika utenom USA og Canada;27 073;3 985;0,5;0,1
Oseania utenom Australia og New Zealand;82;3;0,0;0,0
